ticket_id,fine,violation_code,entity,car_make,issue_time,latitude,longitude,total_tickets,officer_badge,amount_paid,location,meter_id,meter_status,rate,date_issued
5568060171,30.0,29,3551685,HYUN,09:35 AM,40.003181,-83.008231,0,7.0,30.0,15 18TH AVE E,UE457,Operational,  $.75,2017-12-19
5568350520,30.0,29,3523619,ACUR,09:24 AM,39.972,-83.006011,0,15.0,30.0,ARMSTRONG ST@SPRUCE ST W,NG606,Operational,  $.40,2018-04-05
5568301575,30.0,29,3684685,HYUN,11:51 AM,39.9723,-83.005712,0,12.0,0.0,400 BLK ARMSTRONG ST,NG606,Operational,  $.40,2018-03-24
5568325633,30.0,29,3624551,HYUN,07:58 AM,39.972385,-83.005796,2,8.0,0.0,ARMSTRONG ST@VINE ST,NG606,Operational,  $.40,2018-03-30
5568112726,30.0,29,3665201,TOYT,07:53 AM,39.972465,-83.005796,0,9,30.0,ARMSTRONG ST@SPRUCE ST W,NG606,Operational,  $.40,2018-01-19
5568288091,30.0,29,3645509,CHEV,08:09 PM,39.971299,-83.007643,0,19.0,0.0,E/S ARMSTRONG ST,NG606,Operational,  $.40,2018-03-18
5568223772,30.0,29,3680262,HOND,09:18 PM,39.995126,-83.008314,0,13.0,30.0,N/S 11TH AVE W,UW124,Operational,  $.75,2018-02-28
5568108073,30.0,29,3672683,HOND,09:44 PM,39.994982,-83.008566,0,13.0,45.0,N/S 11TH AVE W,UW124,Operational,  $.75,2018-01-12
5568124405,30.0,29,3418132,TOYT,01:13 PM,39.995386,-83.00865,0,15.0,30.0,AF 45 11TH AVE W,UW124,Operational,  $.75,2018-01-23
5568199165,50.0,72,3675983,HYUN,05:44 PM,39.995196,-83.008147,0,13.0,0.0,N/S 11TH AVE W,UW124,Operational,  $.75,2018-02-23
5568192246,30.0,29,3678446,NISS,08:24 PM,39.995566,-83.008986,0,13.0,30.0,N/S 11TH AVE W,UW124,Operational,  $.75,2018-02-17
5568036043,30.0,29,3668528,KIA,09:17 AM,39.99446,-83.008524,0,7.0,45.0,AF45 11TH AVE W,UW124,Operational,  $.75,2017-12-12
5568218113,30.0,29,3470534,HOND,12:06 PM,39.995316,-83.008818,0,7.0,45.0,AF45 11TH AVE W,UW124,Operational,  $.75,2018-02-27
5568108014,30.0,29,3672672,DODG,09:18 PM,39.998595,-83.0063,0,13.0,65.0,S/S 14TH AVE E,UE295,Operational,  $.75,2018-01-12
5568127301,30.0,29,3646523,VOLK,08:49 AM,39.998601,-83.006384,0,7.0,45.0,43 14TH AVE E,UE295,Operational,  $.75,2018-01-25
5568244573,30.0,29,3646523,VOLK,09:22 AM,39.998648,-83.00651,0,7.0,45.0,43 14TH AVE E,UE295,Operational,  $.75,2018-03-07
5568097982,50.0,72,3646523,VOLK,09:37 AM,39.998606,-83.006468,0,10.0,50.0,43 14TH AVE E@PEARL ST N,UE295,Operational,  $.75,2018-01-11
5568221834,30.0,29,3647460,FORD,12:53 PM,39.998818,-83.006677,0,10.0,45.0,43 14TH AVE E@PEARL ST N,UE295,Operational,  $.75,2018-02-28
5568366771,30.0,29,3500756,CHEV,06:58 PM,39.998675,-83.0063,0,17.0,0.0,100 BLOCK 14TH AVE E,UE295,Operational,  $.75,2018-04-07
5568394756,30.0,29,3688892,MAZD,08:39 PM,39.998706,-83.006803,0,20.0,0.0,100 BLOCK 14TH AVE E,UE295,Operational,  $.75,2018-04-12
5568117302,30.0,29,3645725,SATU,10:58 AM,39.998606,-83.006468,0,7.0,0.0,43 14TH AVE E,UE295,Operational,  $.75,2018-01-20
5568190721,30.0,29,3645725,SATU,08:40 AM,39.998675,-83.0063,0,7.0,0.0,43 14TH AVE E,UE295,Operational,  $.75,2018-02-21
5568194011,30.0,29,3647460,FORD,12:57 PM,39.998648,-83.00651,0,10.0,45.0,43 14TH AVE E@PEARL ST N,UE295,Operational,  $.75,2018-02-17
5568401174,30.0,29,3689075,MERC,06:03 PM,39.99685,-83.006468,0,20.0,0.0,100 BLOCK 12TH AVE E,UE170,Operational,  $.75,2018-04-13
5568389786,30.0,29,3589404,SUBA,09:27 PM,39.99685,-83.006468,0,20.0,30.0,100 BLOCK 12TH AVE E,UE170,Operational,  $.75,2018-04-11
5568403005,50.0,72,3689357,CHEV,04:45 PM,39.99685,-83.006468,0,20.0,0.0,100 BLOCK 12TH AVE E,UE170,Operational,  $.75,2018-04-14
5568259052,30.0,29,3594443,HYUN,09:29 AM,39.99685,-83.006468,0,7.0,30.0,28 12TH AVE E,UE170,Operational,  $.75,2018-03-13
5568025252,30.0,29,3507645,MINI,04:45 PM,39.99702,-83.006635,0,18.0,45.0,34 12TH AVE E,UE170,Operational,  $.75,2017-12-06
5568091741,50.0,72,3613553,AUDI,10:51 AM,39.99676,-83.0063,0,7.0,85.0,34 12TH AVE E,UE170,Operational,  $.75,2018-01-09
5568338373,50.0,72,3570423,FORD,10:44 AM,39.99685,-83.006468,0,10.0,0.0,28 12TH AVE E@PEARL ST N,UE170,Operational,  $.75,2018-04-01
5568375930,30.0,29,3657965,CHEV,11:44 AM,39.99685,-83.006468,0,10.0,45.0,100 BLOCK 12TH AVE E@PEARL ST N,UE170,Operational,  $.75,2018-04-08
